institution_code,institution_abbreviation,institution_name,metric,year,value
H08,KZN,University of Kwazulu-Natal,African,2009,22782
H08,KZN,University of Kwazulu-Natal,Coloured,2009,995
H08,KZN,University of Kwazulu-Natal,Indian,2009,11075
H08,KZN,University of Kwazulu-Natal,White,2009,3911
H08,KZN,University of Kwazulu-Natal,Other,2009,101
H08,KZN,University of Kwazulu-Natal,Total,2009,38864
H08,KZN,University of Kwazulu-Natal,African,2010,25048
H08,KZN,University of Kwazulu-Natal,Coloured,2010,1041
H08,KZN,University of Kwazulu-Natal,Indian,2010,11305
H08,KZN,University of Kwazulu-Natal,White,2010,3668
H08,KZN,University of Kwazulu-Natal,Other,2010,162
H08,KZN,University of Kwazulu-Natal,Total,2010,41224
H08,KZN,University of Kwazulu-Natal,African,2011,25981
H08,KZN,University of Kwazulu-Natal,Coloured,2011,918
H08,KZN,University of Kwazulu-Natal,Indian,2011,11406
H08,KZN,University of Kwazulu-Natal,White,2011,3323
H08,KZN,University of Kwazulu-Natal,Other,2011,134
H08,KZN,University of Kwazulu-Natal,Total,2011,41762
H08,KZN,University of Kwazulu-Natal,African,2012,26872
H08,KZN,University of Kwazulu-Natal,Coloured,2012,941
H08,KZN,University of Kwazulu-Natal,Indian,2012,10829
H08,KZN,University of Kwazulu-Natal,White,2012,3095
H08,KZN,University of Kwazulu-Natal,Other,2012,127
H08,KZN,University of Kwazulu-Natal,Total,2012,41864
H08,KZN,University of Kwazulu-Natal,African,2013,29280
H08,KZN,University of Kwazulu-Natal,Coloured,2013,938
H08,KZN,University of Kwazulu-Natal,Indian,2013,10803
H08,KZN,University of Kwazulu-Natal,White,2013,2832
H08,KZN,University of Kwazulu-Natal,Other,2013,149
H08,KZN,University of Kwazulu-Natal,Total,2013,44002
H08,KZN,University of Kwazulu-Natal,African,2014,30486
H08,KZN,University of Kwazulu-Natal,Coloured,2014,979
H08,KZN,University of Kwazulu-Natal,Indian,2014,11411
H08,KZN,University of Kwazulu-Natal,White,2014,2460
H08,KZN,University of Kwazulu-Natal,Other,2014,129
H08,KZN,University of Kwazulu-Natal,Total,2014,45465
H08,KZN,University of Kwazulu-Natal,African,2015,31347
