institution_code,institution_abbreviation,institution_name,year,gender,value
H12,UP,University of Pretoria,2014,Total,56376
H12,UP,University of Pretoria,2015,Female,31767
H12,UP,University of Pretoria,2015,Male,24217
H12,UP,University of Pretoria,2015,Other,
H12,UP,University of Pretoria,2015,Total,55984
H12,UP,University of Pretoria,2016,Female,30056
H12,UP,University of Pretoria,2016,Male,23176
H12,UP,University of Pretoria,2016,Other,
H12,UP,University of Pretoria,2016,Total,53232
H13,RU,Rhodes University,2009,Female,4116
H13,RU,Rhodes University,2009,Male,2896
H13,RU,Rhodes University,2009,Other,
H13,RU,Rhodes University,2009,Total,7012
H13,RU,Rhodes University,2010,Female,4219
H13,RU,Rhodes University,2010,Male,2950
H13,RU,Rhodes University,2010,Other,
H13,RU,Rhodes University,2010,Total,7169
H13,RU,Rhodes University,2011,Female,4284
H13,RU,Rhodes University,2011,Male,2994
H13,RU,Rhodes University,2011,Other,
H13,RU,Rhodes University,2011,Total,7278
H13,RU,Rhodes University,2012,Female,4306
H13,RU,Rhodes University,2012,Male,3089
H13,RU,Rhodes University,2012,Other,
H13,RU,Rhodes University,2012,Total,7395
H13,RU,Rhodes University,2013,Female,4356
H13,RU,Rhodes University,2013,Male,3129
H13,RU,Rhodes University,2013,Other,
H13,RU,Rhodes University,2013,Total,7485
H13,RU,Rhodes University,2014,Female,4473
H13,RU,Rhodes University,2014,Male,3046
H13,RU,Rhodes University,2014,Other,
H13,RU,Rhodes University,2014,Total,7519
H13,RU,Rhodes University,2015,Female,4753
H13,RU,Rhodes University,2015,Male,3254
H13,RU,Rhodes University,2015,Other,
H13,RU,Rhodes University,2015,Total,8007
H13,RU,Rhodes University,2016,Female,4798
H13,RU,Rhodes University,2016,Male,3338
H13,RU,Rhodes University,2016,Other,
H13,RU,Rhodes University,2016,Total,8136
H14,UNISA,University of South Africa,2009,Female,158699
H14,UNISA,University of South Africa,2009,Male,104860
H14,UNISA,University of South Africa,2009,Other,
H14,UNISA,University of South Africa,2009,Total,263559
H14,UNISA,University of South Africa,2010,Female,177503
H14,UNISA,University of South Africa,2010,Male,115934
H14,UNISA,University of South Africa,2010,Other,
H14,UNISA,University of South Africa,2010,Total,293437
H14,UNISA,University of South Africa,2011,Female,202002
