institution_code,institution_abbreviation,institution_name,year,gender,value
H06,FS,University of Free State,2009,Female,15809
H06,FS,University of Free State,2009,Male,11432
H06,FS,University of Free State,2009,Other,
H06,FS,University of Free State,2009,Total,27241
H06,FS,University of Free State,2010,Female,17522
H06,FS,University of Free State,2010,Male,12379
H06,FS,University of Free State,2010,Other,
H06,FS,University of Free State,2010,Total,29901
H06,FS,University of Free State,2011,Female,18870
H06,FS,University of Free State,2011,Male,12716
H06,FS,University of Free State,2011,Other,
H06,FS,University of Free State,2011,Total,31586
H06,FS,University of Free State,2012,Female,19969
H06,FS,University of Free State,2012,Male,12406
H06,FS,University of Free State,2012,Other,
H06,FS,University of Free State,2012,Total,32375
H06,FS,University of Free State,2013,Female,19698
H06,FS,University of Free State,2013,Male,12179
H06,FS,University of Free State,2013,Other,
H06,FS,University of Free State,2013,Total,31877
H06,FS,University of Free State,2014,Female,19209
H06,FS,University of Free State,2014,Male,11823
H06,FS,University of Free State,2014,Other,
H06,FS,University of Free State,2014,Total,31032
H06,FS,University of Free State,2015,Female,18741
H06,FS,University of Free State,2015,Male,11677
H06,FS,University of Free State,2015,Other,
H06,FS,University of Free State,2015,Total,30418
H06,FS,University of Free State,2016,Female,22364
H06,FS,University of Free State,2016,Male,13905
H06,FS,University of Free State,2016,Other,
H06,FS,University of Free State,2016,Total,36269
H07,UJ,University of Johannesburg,2009,Female,27013
H07,UJ,University of Johannesburg,2009,Male,22302
H07,UJ,University of Johannesburg,2009,Other,
H07,UJ,University of Johannesburg,2009,Total,49315
H07,UJ,University of Johannesburg,2010,Female,26841
H07,UJ,University of Johannesburg,2010,Male,21474
H07,UJ,University of Johannesburg,2010,Other,
H07,UJ,University of Johannesburg,2010,Total,48315
H07,UJ,University of Johannesburg,2011,Female,27942
H07,UJ,University of Johannesburg,2011,Male,22586
H07,UJ,University of Johannesburg,2011,Other,
H07,UJ,University of Johannesburg,2011,Total,50528
H07,UJ,University of Johannesburg,2012,Female,26427
H07,UJ,University of Johannesburg,2012,Male,22342
H07,UJ,University of Johannesburg,2012,Other,
