institution_code,institution_abbreviation,institution_name,metric,year,value
H12,UP,University of Pretoria,FTEs,2016,40821.969
H13,RU,Rhodes University,Headcounts,2009,7012
H13,RU,Rhodes University,FTEs,2009,5880.501309
H13,RU,Rhodes University,Headcounts,2010,7169
H13,RU,Rhodes University,FTEs,2010,6026.442
H13,RU,Rhodes University,Headcounts,2011,7278
H13,RU,Rhodes University,FTEs,2011,6059.622
H13,RU,Rhodes University,Headcounts,2012,7395
H13,RU,Rhodes University,FTEs,2012,6114
H13,RU,Rhodes University,Headcounts,2013,7485
H13,RU,Rhodes University,FTEs,2013,6163.498
H13,RU,Rhodes University,Headcounts,2014,7519
H13,RU,Rhodes University,FTEs,2014,6136.401
H13,RU,Rhodes University,Headcounts,2015,8007
H13,RU,Rhodes University,FTEs,2015,6479.444
H13,RU,Rhodes University,Headcounts,2016,8136
H13,RU,Rhodes University,FTEs,2016,6630.33
H14,UNISA,University of South Africa,Headcounts,2009,263559
H14,UNISA,University of South Africa,FTEs,2009,136107.592
H14,UNISA,University of South Africa,Headcounts,2010,293437
H14,UNISA,University of South Africa,FTEs,2010,148275.024
H14,UNISA,University of South Africa,Headcounts,2011,328864
H14,UNISA,University of South Africa,FTEs,2011,168678.996
H14,UNISA,University of South Africa,Headcounts,2012,336286
H14,UNISA,University of South Africa,FTEs,2012,172303.9614
H14,UNISA,University of South Africa,Headcounts,2013,355240
H14,UNISA,University of South Africa,FTEs,2013,197101.836
H14,UNISA,University of South Africa,Headcounts,2014,328491
H14,UNISA,University of South Africa,FTEs,2014,187042.754
H14,UNISA,University of South Africa,Headcounts,2015,337944
H14,UNISA,University of South Africa,FTEs,2015,190877.838
H14,UNISA,University of South Africa,Headcounts,2016,299324
H14,UNISA,University of South Africa,FTEs,2016,167621.796
H15,SU,University of Stellenbosch,Headcounts,2009,25693
H15,SU,University of Stellenbosch,FTEs,2009,20668.4132
H15,SU,University of Stellenbosch,Headcounts,2010,27344
H15,SU,University of Stellenbosch,FTEs,2010,22055.677
H15,SU,University of Stellenbosch,Headcounts,2011,27266
H15,SU,University of Stellenbosch,FTEs,2011,22187.917
H15,SU,University of Stellenbosch,Headcounts,2012,27510
H15,SU,University of Stellenbosch,FTEs,2012,22193
H15,SU,University of Stellenbosch,Headcounts,2013,27418
H15,SU,University of Stellenbosch,FTEs,2013,21803.472
H15,SU,University of Stellenbosch,Headcounts,2014,28869
H15,SU,University of Stellenbosch,FTEs,2014,22476.179
H15,SU,University of Stellenbosch,Headcounts,2015,29613
H15,SU,University of Stellenbosch,FTEs,2015,23202.682
H15,SU,University of Stellenbosch,Headcounts,2016,30161
H15,SU,University of Stellenbosch,FTEs,2016,23750.239
H16,TUT,Tshwane University of Technology,Headcounts,2009,52688
H16,TUT,Tshwane University of Technology,FTEs,2009,40190.299
H16,TUT,Tshwane University of Technology,Headcounts,2010,51785
H16,TUT,Tshwane University of Technology,FTEs,2010,37381.443
H16,TUT,Tshwane University of Technology,Headcounts,2011,50075
H16,TUT,Tshwane University of Technology,FTEs,2011,36437.967
H16,TUT,Tshwane University of Technology,Headcounts,2012,51711
H16,TUT,Tshwane University of Technology,FTEs,2012,36849.981
H16,TUT,Tshwane University of Technology,Headcounts,2013,54159
H16,TUT,Tshwane University of Technology,FTEs,2013,37903.368
H16,TUT,Tshwane University of Technology,Headcounts,2014,56785
H16,TUT,Tshwane University of Technology,FTEs,2014,40744.783
H16,TUT,Tshwane University of Technology,Headcounts,2015,57246
H16,TUT,Tshwane University of Technology,FTEs,2015,41419.485
H16,TUT,Tshwane University of Technology,Headcounts,2016,58901
H16,TUT,Tshwane University of Technology,FTEs,2016,42846.211
H17,UNIVEN,University of Venda,Headcounts,2009,11125
H17,UNIVEN,University of Venda,FTEs,2009,9892.659
H17,UNIVEN,University of Venda,Headcounts,2010,10679
H17,UNIVEN,University of Venda,FTEs,2010,9090.946
H17,UNIVEN,University of Venda,Headcounts,2011,10342
H17,UNIVEN,University of Venda,FTEs,2011,8398.697
H17,UNIVEN,University of Venda,Headcounts,2012,10323
H17,UNIVEN,University of Venda,FTEs,2012,8122.043
H17,UNIVEN,University of Venda,Headcounts,2013,11818
H17,UNIVEN,University of Venda,FTEs,2013,9682.024
H17,UNIVEN,University of Venda,Headcounts,2014,13497
H17,UNIVEN,University of Venda,FTEs,2014,11161.354
H17,UNIVEN,University of Venda,Headcounts,2015,14146
H17,UNIVEN,University of Venda,FTEs,2015,11820.646
H17,UNIVEN,University of Venda,Headcounts,2016,15237
H17,UNIVEN,University of Venda,FTEs,2016,13034.488
H18,VUT,Vaal University of Technology,Headcounts,2009,19407
H18,VUT,Vaal University of Technology,FTEs,2009,14551.14
H18,VUT,Vaal University of Technology,Headcounts,2010,21416
H18,VUT,Vaal University of Technology,FTEs,2010,15897.267
H18,VUT,Vaal University of Technology,Headcounts,2011,21861
H18,VUT,Vaal University of Technology,FTEs,2011,15766.028
H18,VUT,Vaal University of Technology,Headcounts,2012,21201
H18,VUT,Vaal University of Technology,FTEs,2012,14507.247
H18,VUT,Vaal University of Technology,Headcounts,2013,20633
H18,VUT,Vaal University of Technology,FTEs,2013,13744.186
H18,VUT,Vaal University of Technology,Headcounts,2014,19319
