field_of_study,year,race,program_type,graduates
Education,2013,White,PG < Masters,2542.0
Education,2013,White,Masters,175.83
Education,2013,White,Doctorate,63.5
Humanities and social sciences,2013,African,Undergraduate,19507.92
Humanities and social sciences,2013,African,PG < Masters,3772.33
Humanities and social sciences,2013,African,Masters,1322.92
Humanities and social sciences,2013,African,Doctorate,257.67
Humanities and social sciences,2013,Coloured,Undergraduate,2112.0
Humanities and social sciences,2013,Coloured,PG < Masters,536.25
Humanities and social sciences,2013,Coloured,Masters,198.25
Humanities and social sciences,2013,Coloured,Doctorate,33.5
Humanities and social sciences,2013,Indian,Undergraduate,1330.58
Humanities and social sciences,2013,Indian,PG < Masters,342.67
Humanities and social sciences,2013,Indian,Masters,144.0
Humanities and social sciences,2013,Indian,Doctorate,25.5
Humanities and social sciences,2013,White,Undergraduate,6691.33
Humanities and social sciences,2013,White,PG < Masters,2022.75
Humanities and social sciences,2013,White,Masters,1226.0
Humanities and social sciences,2013,White,Doctorate,273.5
Natural sciences,2014,African,Undergraduate,12718.42
Natural sciences,2014,African,PG < Masters,2501.58
Natural sciences,2014,African,Masters,1099.33
Natural sciences,2014,African,Doctorate,336.0
Natural sciences,2014,Coloured,Undergraduate,883.16
Natural sciences,2014,Coloured,PG < Masters,289.17
Natural sciences,2014,Coloured,Masters,110.33
Natural sciences,2014,Coloured,Doctorate,34.0
Natural sciences,2014,Indian,Undergraduate,758.92
Natural sciences,2014,Indian,PG < Masters,292.08
Natural sciences,2014,Indian,Masters,104.25
Natural sciences,2014,Indian,Doctorate,55.5
Natural sciences,2014,White,Undergraduate,3667.92
Natural sciences,2014,White,PG < Masters,1503.67
Natural sciences,2014,White,Masters,796.17
Natural sciences,2014,White,Doctorate,260.0
Engineering and technology,2014,African,Undergraduate,9416.92
Engineering and technology,2014,African,PG < Masters,568.75
Engineering and technology,2014,African,Masters,558.92
Engineering and technology,2014,African,Doctorate,79.5
Engineering and technology,2014,Coloured,Undergraduate,683.25
Engineering and technology,2014,Coloured,PG < Masters,47.58
Engineering and technology,2014,Coloured,Masters,52.75
Engineering and technology,2014,Coloured,Doctorate,3.0
Engineering and technology,2014,Indian,Undergraduate,1018.08
Engineering and technology,2014,Indian,PG < Masters,91.92
Engineering and technology,2014,Indian,Masters,122.17
Engineering and technology,2014,Indian,Doctorate,8.5
Engineering and technology,2014,White,Undergraduate,3083.83
Engineering and technology,2014,White,PG < Masters,618.58
Engineering and technology,2014,White,Masters,682.42
Engineering and technology,2014,White,Doctorate,78.5
Health sciences,2014,African,Undergraduate,4996.67
Health sciences,2014,African,PG < Masters,1481.75
Health sciences,2014,African,Masters,615.25
Health sciences,2014,African,Doctorate,108.5
Health sciences,2014,Coloured,Undergraduate,769.0
Health sciences,2014,Coloured,PG < Masters,307.33
Health sciences,2014,Coloured,Masters,73.17
Health sciences,2014,Coloured,Doctorate,14.0
Health sciences,2014,Indian,Undergraduate,678.33
Health sciences,2014,Indian,PG < Masters,122.5
Health sciences,2014,Indian,Masters,158.25
Health sciences,2014,Indian,Doctorate,21.0
Health sciences,2014,White,Undergraduate,1954.08
Health sciences,2014,White,PG < Masters,543.0
Health sciences,2014,White,Masters,481.42
Health sciences,2014,White,Doctorate,98.0
"Business, economic and management sciences",2014,African,Undergraduate,26427.25
"Business, economic and management sciences",2014,African,PG < Masters,4941.83
"Business, economic and management sciences",2014,African,Masters,1239.75
"Business, economic and management sciences",2014,African,Doctorate,87.0
"Business, economic and management sciences",2014,Coloured,Undergraduate,2392.58
"Business, economic and management sciences",2014,Coloured,PG < Masters,617.83
"Business, economic and management sciences",2014,Coloured,Masters,140.25
"Business, economic and management sciences",2014,Coloured,Doctorate,9.0
"Business, economic and management sciences",2014,Indian,Undergraduate,2367.0
"Business, economic and management sciences",2014,Indian,PG < Masters,1129.75
"Business, economic and management sciences",2014,Indian,Masters,236.08
"Business, economic and management sciences",2014,Indian,Doctorate,17.0
"Business, economic and management sciences",2014,White,Undergraduate,6070.33
"Business, economic and management sciences",2014,White,PG < Masters,3400.67
"Business, economic and management sciences",2014,White,Masters,900.08
"Business, economic and management sciences",2014,White,Doctorate,77.33
Education,2014,African,Undergraduate,18123.5
Education,2014,African,PG < Masters,9155.08
Education,2014,African,Masters,378.33
Education,2014,African,Doctorate,141.0
Education,2014,Coloured,Undergraduate,1353.67
Education,2014,Coloured,PG < Masters,745.25
Education,2014,Coloured,Masters,63.0
Education,2014,Coloured,Doctorate,17.5
Education,2014,Indian,Undergraduate,728.33
Education,2014,Indian,PG < Masters,531.17
Education,2014,Indian,Masters,46.0
Education,2014,Indian,Doctorate,22.0
Education,2014,White,Undergraduate,2841.58
Education,2014,White,PG < Masters,2370.75
Education,2014,White,Masters,197.33
Education,2014,White,Doctorate,46.0
Humanities and social sciences,2014,African,Undergraduate,21603.25
Humanities and social sciences,2014,African,PG < Masters,3648.0
Humanities and social sciences,2014,African,Masters,1579.42
Humanities and social sciences,2014,African,Doctorate,339.0
Humanities and social sciences,2014,Coloured,Undergraduate,2293.33
Humanities and social sciences,2014,Coloured,PG < Masters,520.83
Humanities and social sciences,2014,Coloured,Masters,180.5
Humanities and social sciences,2014,Coloured,Doctorate,27.5
Humanities and social sciences,2014,Indian,Undergraduate,1286.33
Humanities and social sciences,2014,Indian,PG < Masters,267.58
Humanities and social sciences,2014,Indian,Masters,155.25
Humanities and social sciences,2014,Indian,Doctorate,37.0
Humanities and social sciences,2014,White,Undergraduate,6519.25
Humanities and social sciences,2014,White,PG < Masters,1835.33
Humanities and social sciences,2014,White,Masters,1228.58
